weightClearLines,weightHeightDifference,weightDeadspaces,Score
0.0,0.0,0.0,10.0
0.0,0.0,0.25,10.0
0.0,0.0,0.5,10.0
0.0,0.0,0.75,10.0
0.0,0.0,1.0,8.0
0.0,0.0,1.25,8.0
0.0,0.0,1.5,8.0
0.0,0.0,1.75,8.0
0.0,0.25,0.0,6.0
0.0,0.25,0.25,6.0
0.0,0.25,0.5,6.0
0.0,0.25,0.75,6.0
0.0,0.25,1.0,8.0
0.0,0.25,1.25,8.0
0.0,0.25,1.5,8.0
0.0,0.25,1.75,8.0
0.0,0.5,0.0,6.0
0.0,0.5,0.25,6.0
0.0,0.5,0.5,6.0
0.0,0.5,0.75,6.0
0.0,0.5,1.0,8.0
0.0,0.5,1.25,8.0
0.0,0.5,1.5,8.0
0.0,0.5,1.75,8.0
0.0,0.75,0.0,6.0
0.0,0.75,0.25,6.0
0.0,0.75,0.5,6.0
0.0,0.75,0.75,6.0
0.0,0.75,1.0,8.0
0.0,0.75,1.25,8.0
0.0,0.75,1.5,8.0
0.0,0.75,1.75,8.0
0.0,1.0,0.0,6.0
0.0,1.0,0.25,6.0
0.0,1.0,0.5,6.0
0.0,1.0,0.75,6.0
0.0,1.0,1.0,8.0
0.0,1.0,1.25,8.0
0.0,1.0,1.5,8.0
0.0,1.0,1.75,8.0
0.0,1.25,0.0,6.0
0.0,1.25,0.25,6.0
0.0,1.25,0.5,6.0
0.0,1.25,0.75,6.0
0.0,1.25,1.0,8.0
0.0,1.25,1.25,8.0
0.0,1.25,1.5,8.0
0.0,1.25,1.75,8.0
0.0,1.5,0.0,6.0
0.0,1.5,0.25,6.0
0.0,1.5,0.5,6.0
0.0,1.5,0.75,6.0
0.0,1.5,1.0,8.0
0.0,1.5,1.25,8.0
0.0,1.5,1.5,8.0
0.0,1.5,1.75,8.0
0.0,1.75,0.0,6.0
0.0,1.75,0.25,6.0
0.0,1.75,0.5,6.0
0.0,1.75,0.75,6.0
0.0,1.75,1.0,8.0
0.0,1.75,1.25,8.0
0.0,1.75,1.5,8.0
0.0,1.75,1.75,8.0
0.25,0.0,0.0,9.0
0.25,0.0,0.25,10.0
0.25,0.0,0.5,10.0
0.25,0.0,0.75,10.0
0.25,0.0,1.0,8.0
0.25,0.0,1.25,8.0
0.25,0.0,1.5,8.0
0.25,0.0,1.75,8.0
0.25,0.25,0.0,6.0
0.25,0.25,0.25,6.0
0.25,0.25,0.5,6.0
0.25,0.25,0.75,6.0
0.25,0.25,1.0,8.0
0.25,0.25,1.25,8.0
0.25,0.25,1.5,8.0
0.25,0.25,1.75,8.0
0.25,0.5,0.0,6.0
0.25,0.5,0.25,6.0
0.25,0.5,0.5,6.0
0.25,0.5,0.75,6.0
0.25,0.5,1.0,8.0
0.25,0.5,1.25,8.0
0.25,0.5,1.5,8.0
0.25,0.5,1.75,8.0
0.25,0.75,0.0,6.0
0.25,0.75,0.25,6.0
0.25,0.75,0.5,6.0
0.25,0.75,0.75,6.0
0.25,0.75,1.0,8.0
0.25,0.75,1.25,8.0
0.25,0.75,1.5,8.0
0.25,0.75,1.75,8.0
0.25,1.0,0.0,6.0
0.25,1.0,0.25,6.0
0.25,1.0,0.5,6.0
0.25,1.0,0.75,6.0
0.25,1.0,1.0,8.0
0.25,1.0,1.25,8.0
